street,zipcode,city,useCode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,amount,regionName,regionType
856 W Hamilton Ave,90731,San Pedro,Duplex,2018,556457.0,1922,5206,1472,2.0,3,679110,San Pedro,neighborhood
5622 Corbett St,90016,Los Angeles,Condominium,2018,8547.0,1948,37289,748,1.0,2,397097,West Adams,neighborhood
1332 W 214th St,90501,Torrance,SingleFamily,2018,447104.0,1959,7405,1353,2.0,4,607062,Harbor Gateway,neighborhood
960 S Kingsley Dr,90006,Los Angeles,MultiFamily2To4,2018,991177.0,1920,5906,4480,5.0,8,1540803,Koreatown,neighborhood
1757 S New England St,90006,Los Angeles,Quadruplex,2018,812466.0,1900,6612,2147,4.0,5,786555,Harvard Heights,neighborhood
4960 Kester Ave,91403,Sherman Oaks,Quadruplex,2018,732983.0,1957,6501,4530,8.0,8,1851215,Sherman Oaks,neighborhood
14170 Olive View Dr,91342,Sylmar,SingleFamily,2018,375417.0,NA,NA,NA,NA,NA,716731,Sylmar,neighborhood
1744 S Catalina St,90006,Los Angeles,SingleFamily,2018,83598.0,1905,4722,1436,2.0,2,602207,Harvard Heights,neighborhood
10820 De Haven Ave,91331,Pacoima,SingleFamily,2018,197636.0,1974,13300,1646,2.0,4,495878,Pacoima,neighborhood
18148 Calvert St,91335,Tarzana,SingleFamily,2018,93609.0,1920,20267,1184,1.0,2,709790,Encino,neighborhood
19155 Arminta St,91335,Reseda,SingleFamily,2018,299377.0,1941,22041,1845,4.0,4,704949,Reseda,neighborhood
546 W 95th St,90044,Los Angeles,Duplex,2018,209669.0,1949,5399,1442,2.0,4,466315,South Los Angeles,neighborhood
6924 Balcom Ave,91335,Reseda,SingleFamily,2018,610000.0,1949,6534,1455,2.0,3,593616,Reseda,neighborhood
1612 Mccollum St,90026,Los Angeles,Unknown,NA,NA,NA,NA,884,1.0,1,922733,Silver Lake,neighborhood
403 E Century Blvd,90003,Los Angeles,SingleFamily,2018,30374.0,1940,4751,1120,2.0,3,405436,Southeast Los Angeles,neighborhood
10212 Burnet Ave,91345,Mission Hills,SingleFamily,2018,107468.0,1959,7747,1887,2.0,4,589790,Mission Hills,neighborhood
377 W 17th St,90015,San Pedro,Duplex,2018,391765.0,1957,5000,2391,2.0,4,699281,Downtown,neighborhood
18907 Citronia St,91324,Northridge,SingleFamily,2018,554538.0,1963,7753,2001,3.0,3,676095,Northridge,neighborhood
5125 Vista Del Monte Ave,91403,Sherman Oaks,SingleFamily,2018,343554.0,1948,6969,1264,2.0,2,925447,Sherman Oaks,neighborhood
7326 Ensign Ave,91352,Sun Valley,SingleFamily,2018,421361.0,1955,6577,1388,2.0,3,572057,Sun Valley,neighborhood
856 S Gretna Green Way,90049,Los Angeles,Condominium,2018,1051977.0,1979,7311,1637,3.0,2,1131406,Brentwood,neighborhood
11615 Canton Pl,91604,Studio City,SingleFamily,2018,624687.0,1947,8770,1680,2.0,4,1335866,Studio City,neighborhood
829 Keniston Ave,90005,Los Angeles,SingleFamily,2018,804481.0,1924,8877,3384,3.5,4,2870649,Mid City,neighborhood
1227 Yosemite Dr,90041,Los Angeles,SingleFamily,2018,52758.0,1927,6931,1356,2.0,2,859419,Eagle Rock,neighborhood
7046 N Figueroa St,90042,Los Angeles,SingleFamily,2018,269995.0,1921,7506,940,2.0,3,824858,Eagle Rock,neighborhood
1216 W 65th Pl,90044,Los Angeles,SingleFamily,2018,38301.0,1932,3998,1592,1.5,3,428207,South Los Angeles,neighborhood
7039 Tyrone Ave,91405,Van Nuys,SingleFamily,2018,318210.0,1965,6249,2528,3.0,3,730094,Van Nuys,neighborhood
7137 Trask Ave,90293,Playa Del Rey,SingleFamily,2018,955769.0,1992,5418,4738,4.5,4,2598219,Playa Del Rey,neighborhood
12909 Louise Ave,91344,Granada Hills,SingleFamily,2018,622468.0,1988,17315,2669,3.0,3,936592,Granada Hills,neighborhood
7401 Leescott Ave,91406,Van Nuys,SingleFamily,2018,365289.0,1951,6304,1731,2.0,3,646922,Lake Balboa,neighborhood
822 S Robertson Blvd STE 300,90035,Los Angeles,Unknown,NA,NA,NA,NA,1100,1.0,3,2267431,Pico-Robertson,neighborhood
12030 Summit Cir,90210,Beverly Hills,SingleFamily,2018,2205481.0,1987,17740,3044,4.0,3,3542112,Studio City,neighborhood
1232 E 43rd Pl,90011,Los Angeles,Duplex,2018,31919.0,1912,4786,1940,2.0,6,464258,Central City,neighborhood
1120 E 112th St,90059,Los Angeles,SingleFamily,2018,11571.0,1927,4131,668,1.0,2,334906,Southeast Los Angeles,neighborhood
9540 Rubio Ave,91343,Northridge,SingleFamily,2018,535500.0,NA,NA,NA,NA,NA,586907,Northridge,neighborhood
344 W 88th Pl,90003,Los Angeles,SingleFamily,2018,145018.0,1927,3575,1036,1.0,2,339327,Southeast Los Angeles,neighborhood
5639 Observation Ln,90028,Los Angeles,SingleFamily,2018,718259.0,2014,1000,1394,3.0,3,824785,Hollywood,neighborhood
549 W Colden Ave,90044,Los Angeles,MultiFamily2To4,2018,487015.0,2012,5880,3000,1.0,0,662071,South Los Angeles,neighborhood
647 Academy Rd,90012,Los Angeles,SingleFamily,2018,485881.0,1916,4791,1200,2.0,3,604485,Elysian Park,neighborhood
349 N Bronson Ave,90004,Los Angeles,SingleFamily,2018,142509.0,1922,5004,1546,2.0,2,1362682,Mid Wilshire,neighborhood
12101 Monogram Ave,91344,Granada Hills,SingleFamily,2018,285468.0,1961,11024,1830,2.0,3,741771,Granada Hills,neighborhood
3572 Greenfield Ave,90034,Los Angeles,SingleFamily,2018,568975.0,1939,6087,1520,2.0,3,1360163,Palms,neighborhood
11908 Salem Dr,91344,Granada Hills,SingleFamily,2018,356245.0,1958,12657,1896,2.0,3,761430,Granada Hills,neighborhood
18550 Valerio St,91335,Reseda,SingleFamily,2018,439128.0,1948,7855,2008,3.0,3,648383,Reseda,neighborhood
7515 S Halldale Ave,90047,Los Angeles,SingleFamily,2018,193217.0,1928,5200,1470,1.0,2,540265,South Los Angeles,neighborhood
2051 S Garth Ave,90034,Los Angeles,Quadruplex,2018,721243.0,1935,6297,2876,4.0,5,1504018,Crestview,neighborhood
2009 Claudina Ave,90016,Los Angeles,MultiFamily2To4,2018,578568.0,NA,5793,NA,NA,NA,1138837,Mid City,neighborhood
5019 Maplewood Ave,90004,Los Angeles,Condominium,2018,1173000.0,2019,7801,2260,2.5,3,1111208,Mid Wilshire,neighborhood
1304 E Colon St,90744,Wilmington,SingleFamily,2018,157070.0,1985,2500,1444,2.0,3,467749,Wilmington,neighborhood
7810 S Denker Ave,90047,Los Angeles,SingleFamily,2018,207590.0,1939,5282,1106,1.0,2,461852,South Los Angeles,neighborhood
4232 Teesdale Ave,91604,Studio City,SingleFamily,2018,589687.0,1947,5810,1523,1.0,2,1354705,Studio City,neighborhood
12679 Lazard St,91342,Sylmar,SingleFamily,2018,81393.0,1962,9349,1305,2.0,4,545029,Sylmar,neighborhood
15051 Sherman Way,91405,Van Nuys,Townhouse,2018,330847.0,1980,155539,1415,3.0,2,452467,Van Nuys,neighborhood
4067 Cody Rd,91403,Sherman Oaks,SingleFamily,2018,1705651.0,1956,25588,3084,3.0,4,2481131,Sherman Oaks,neighborhood
13364 Pinney St,91331,Pacoima,SingleFamily,2018,188091.0,1947,7840,1084,1.0,3,446456,Pacoima,neighborhood
1429 S Cochran Ave,90019,Los Angeles,Triplex,2018,254892.0,1935,6750,2732,3.0,6,1297658,Mid City,neighborhood
3995 Inglewood Blvd,90066,Los Angeles,MultiFamily2To4,NA,NA,1906,10859,5836,8.0,10,6838398,Mar Vista,neighborhood
3422 S Walker Ave,90731,San Pedro,SingleFamily,2018,291674.0,1947,6253,1561,2.0,2,737381,San Pedro,neighborhood
1214 S Cloverdale Ave,90019,Los Angeles,SingleFamily,2018,287276.0,2010,1625,1548,3.0,3,1276398,Mid City,neighborhood
18935 Muirkirk Dr,91326,Porter Ranch,SingleFamily,2018,367452.0,1966,8802,2999,3.0,4,856379,Porter Ranch,neighborhood
154 S Formosa Ave,90036,Los Angeles,SingleFamily,2018,459896.0,1926,6600,1960,2.0,3,1820335,Mid City West,neighborhood
7339 Cleon Ave,91352,Sun Valley,SingleFamily,2018,482549.0,1954,6625,3327,6.0,6,927784,Sun Valley,neighborhood
750 S Windsor Blvd APT 5,90005,Los Angeles,MultiFamily2To4,2018,367597.0,1965,10477,1250,2.0,2,753165,Mid City,neighborhood
5309 Agnes Ave APT 15,91607,Valley Village,MultiFamily2To4,NA,NA,1960,NA,700,1.0,0,1390507,Valley Village,neighborhood
8415 S Denker Ave,90047,Los Angeles,SingleFamily,2018,306000.0,1929,3027,816,1.0,2,384209,South Los Angeles,neighborhood
10121 Burnet Ave,91345,Mission Hills,SingleFamily,2018,520000.0,1953,8004,1249,2.0,3,550806,Mission Hills,neighborhood
22145 Teri Ct,91304,Canoga Park,SingleFamily,2018,594000.0,2002,93317,2224,3.0,4,649447,West Hills,neighborhood
5200 Los Diegos Way,90027,Los Angeles,SingleFamily,2018,991900.0,1966,11009,2656,5.0,2,2847355,Los Feliz,neighborhood
5445 Sierra Vista Ave APT 4,90038,Los Angeles,Apartment,NA,NA,NA,NA,600,1.0,1,1033424,Hollywood,neighborhood
1108 Olancha Dr,90065,Los angeles,SingleFamily,2018,1275000.0,2016,5388,1923,3.0,3,1198916,Mount Washington,neighborhood
620 N Heliotrope Dr # B,90004,Los Angeles,Quadruplex,2018,489178.0,1941,7714,2672,4.0,4,1255579,Hollywood,neighborhood
16058 Jersey St,91344,Granada Hills,SingleFamily,2018,340906.0,1956,7100,1620,2.0,3,599708,Granada Hills,neighborhood
9411 Gullo Ave,91331,Arleta,SingleFamily,2018,87966.0,1952,6226,1119,2.0,3,481215,Arleta,neighborhood
23722 Ladrillo St,91367,Woodland Hills,SingleFamily,2018,852087.0,1961,10977,2436,2.0,4,1026092,Woodland Hills,neighborhood
819 E 82nd St,90001,Los Angeles,SingleFamily,2018,153604.0,1925,5099,896,1.0,2,398618,Southeast Los Angeles,neighborhood
3043 Carlyle St,90065,Los Angeles,SingleFamily,2018,126951.0,1914,11540,1507,2.0,4,864218,Glassell Park,neighborhood
937 S Curson Ave,90036,Los Angeles,SingleFamily,2018,331408.0,1925,5500,1574,1.0,3,1592329,Mid City,neighborhood
1542 Chia Way,90041,Los Angeles,SingleFamily,NA,NA,2018,1262,1799,3.0,3,925450,Eagle Rock,neighborhood
1006 W 75th St,90044,Los Angeles,SingleFamily,2018,375000.0,1972,4979,1092,4.0,6,442611,South Los Angeles,neighborhood
1007 S Malgren Ave,90732,San Pedro,SingleFamily,2018,104019.0,1950,7749,1580,2.0,3,801246,San Pedro,neighborhood
4413 Grimes Pl,91316,Encino,SingleFamily,2018,1267517.0,1964,20300,3297,4.0,4,1409217,Encino,neighborhood
11350 Kingsland St,90066,Los Angeles,SingleFamily,2018,1119647.0,1948,7375,2206,3.0,4,2000162,Mar Vista,neighborhood
6851 Atoll Ave,91605,North Hollywood,SingleFamily,2018,407336.0,1957,6969,1874,2.0,3,671697,Valley Glen,neighborhood
18154 Guildford Ln,91326,Porter Ranch,SingleFamily,2018,523725.0,1986,11761,2488,3.0,4,896847,Porter Ranch,neighborhood
3572 N Figueroa St,90065,Los Angeles,SingleFamily,NA,NA,1909,NA,1150,1.5,2,745135,Cypress Park,neighborhood
4828 Collett Ave,91436,Encino,SingleFamily,2018,458975.0,1958,8403,2030,3.0,3,1258832,Encino,neighborhood
762 E 53rd St,90011,Los Angeles,Duplex,2018,118579.0,1909,6020,1060,NA,3,430237,Southeast Los Angeles,neighborhood
1455 W 35th Pl,90018,Los Angeles,Duplex,2018,771840.0,1906,6800,2951,2.0,6,888546,South Los Angeles,neighborhood
2310 S Harcourt Ave,90016,Los Angeles,SingleFamily,2018,29673.0,1922,6248,1026,1.0,2,671638,Mid City,neighborhood
4001 Vanalden Ave,91356,Tarzana,SingleFamily,2018,219089.0,1971,20206,3208,4.0,4,1427016,Tarzana,neighborhood
1636 W 22nd St,90007,San Pedro,SingleFamily,2018,102085.0,1963,5982,1420,2.0,2,844125,San Pedro,neighborhood
10608 Northridge Hill Dr,91311,Chatsworth,SingleFamily,2018,464996.0,1967,17524,2503,3.0,4,880361,Northridge,neighborhood
844 Sayre Ln,90026,Los Angeles,Duplex,2018,49125.0,1957,3651,1384,2.0,3,960146,Silver Lake,neighborhood
1082 Moraga Dr,90049,Los Angeles,SingleFamily,2018,2296062.0,1959,13773,3403,3.0,4,3243181,Bel Air,neighborhood
11156 Newcastle Ave,91344,Granada Hills,SingleFamily,2018,281350.0,1980,8715,1982,2.0,4,735389,Northridge,neighborhood
12030 Aneta St,90230,Los Angeles,SingleFamily,2018,1197500.0,1952,5767,1256,2.0,3,1178563,Del Rey,neighborhood
10954 Cardamine Pl,91042,Tujunga,SingleFamily,2018,303102.0,1980,5227,1828,2.0,3,730000,Tujunga,neighborhood
3818 Hauser Blvd,90008,Los Angeles,SingleFamily,2018,320705.0,1947,6740,1225,1.0,3,841911,Crenshaw,neighborhood
5837 Capistrano Ave,91367,Woodland Hills,SingleFamily,2018,1526480.0,1960,11024,2856,4.0,4,1051599,Woodland Hills,neighborhood
9843 Nevada Ave,91311,Chatsworth,SingleFamily,2018,377076.0,1978,7518,1930,3.0,4,684938,Chatsworth,neighborhood
10606 Hillview Ave,91311,Chatsworth,SingleFamily,2018,262348.0,NA,NA,NA,NA,NA,580677,Chatsworth,neighborhood
7284 Chetwood Dr,91042,Tujunga,SingleFamily,2018,552500.0,1960,10999,2024,3.0,4,761342,Tujunga,neighborhood
832 E 103rd Pl,90002,Los Angeles,SingleFamily,2018,87210.0,1944,4980,941,1.0,3,380655,Southeast Los Angeles,neighborhood
3011 Ingledale Ter,90039,Los Angeles,SingleFamily,2018,217676.0,1924,1680,816,1.0,2,751439,Atwater Village,neighborhood
19822 Valerio St,91306,Winnetka,SingleFamily,2018,296639.0,1956,7012,1772,3.0,4,573365,Winnetka,neighborhood
41 30th Ave,90291,Venice,SingleFamily,2018,1123110.0,1930,3011,1102,3.5,3,2565203,Venice,neighborhood
8919 Ranchito Ave,91402,Panorama City,SingleFamily,2018,489498.0,1950,5662,1513,2.0,3,552133,Panorama City,neighborhood
6206 Beeman Ave,91606,North Hollywood,SingleFamily,2018,472902.0,1947,7565,1677,1.0,3,738546,Valley Glen,neighborhood
209 W 86th Pl,90003,Los Angeles,SingleFamily,2018,178568.0,1922,4320,810,1.0,3,359533,Southeast Los Angeles,neighborhood
850 Rose Ave,90291,Venice,SingleFamily,2018,119395.0,1948,3125,750,1.0,2,1297397,Venice,neighborhood
3987 Mclaughlin Ave,90066,Los Angeles,SingleFamily,2018,297849.0,1946,7754,1500,2.0,3,1345091,Mar Vista,neighborhood
8030 Naylor Ave,90045,Los Angeles,SingleFamily,2018,151002.0,1941,5999,1361,2.0,2,1201933,Westchester,neighborhood
5053 Long Beach Ave,90058,Los Angeles,SingleFamily,2018,51904.0,1914,2622,1214,1.0,1,405637,Southeast Los Angeles,neighborhood
9131 Calle Juela Dr,90210,Beverly Hills,SingleFamily,2018,1753738.0,1938,48079,4484,4.0,6,6535948,Beverly Crest,neighborhood
22108 Califa St,91367,Woodland Hills,SingleFamily,2018,758600.0,2000,13503,3754,4.0,4,1299631,Woodland Hills,neighborhood
17205 Mckeever St,91344,Granada Hills,SingleFamily,2018,90116.0,1954,8759,1325,2.0,4,641938,Granada Hills,neighborhood
1855 Echo Park Ave,90026,Los Angeles,Duplex,2018,288545.0,1993,7491,2419,2.0,2,1228081,Echo Park,neighborhood
11309 S Main St,90061,Los Angeles,SingleFamily,2018,41203.0,1921,6790,416,NA,NA,422503,Southeast Los Angeles,neighborhood
1772 W 36th St,90018,Los Angeles,Triplex,2018,346071.0,1989,7227,3152,7.0,7,984188,South Los Angeles,neighborhood
5601 S Normandie Ave,90037,Los Angeles,Duplex,2018,160263.0,1921,5600,1458,2.0,2,492824,South Los Angeles,neighborhood
762 W 7th St,90017,San Pedro,Duplex,2018,423593.0,1910,5001,1384,2.0,4,556768,Downtown,neighborhood
4521 Paulhan Ave,90041,Los Angeles,SingleFamily,2018,189314.0,1921,6483,1234,2.0,4,893138,Eagle Rock,neighborhood
1134 E Century Blvd,90002,Los Angeles,Triplex,2018,169465.0,1950,3821,1640,3.0,4,485047,Southeast Los Angeles,neighborhood
7200 W 91st St,90045,Los Angeles,SingleFamily,2018,911441.0,1952,6600,2037,2.0,4,1337033,Playa Del Rey,neighborhood
3741 Bobstone Dr,91423,Sherman Oaks,SingleFamily,2018,652019.0,1960,8402,2203,3.0,3,1516810,Sherman Oaks,neighborhood
4619 Lemona Ave,91403,Sherman Oaks,SingleFamily,2018,910718.0,2005,6534,3313,4.0,5,1694642,Sherman Oaks,neighborhood
7535 Etiwanda Ave,91335,Reseda,SingleFamily,2018,59418.0,1950,8503,1071,1.0,2,469289,Reseda,neighborhood
1613 Exposition Blvd,90018,Los Angeles,MultiFamily2To4,2018,297217.0,1945,5954,3024,3.0,7,867556,South Los Angeles,neighborhood
2764 Bottlebrush Dr,90077,Los Angeles,SingleFamily,2018,1298951.0,1977,5979,2536,2.5,2,1601725,Beverly Crest,neighborhood
18825 Lassen St,91324,Northridge,SingleFamily,2018,430606.0,1968,10761,1568,2.0,3,674653,Northridge,neighborhood
9716 Alcott St,90035,Los Angeles,SingleFamily,2018,95265.0,1946,5492,1596,2.0,3,1771118,Cheviot Hills,neighborhood
8932 Haddon Ave,91352,Sun Valley,SingleFamily,2018,227576.0,1965,8549,2401,3.0,5,572231,Sun Valley,neighborhood
3312 Atwater Ave,90039,Los Angeles,SingleFamily,2018,229202.0,1931,6755,1118,1.0,2,923051,Atwater Village,neighborhood
5761 Radford Ave,91607,Valley Village,SingleFamily,2018,515511.0,1952,6045,1575,2.0,3,834967,North Hollywood,neighborhood
17707 Duncan St,91316,Encino,SingleFamily,2018,686570.0,1950,10323,2648,3.0,3,861978,Encino,neighborhood
4010 W 59th Pl,90043,Los Angeles,SingleFamily,2018,393311.0,1926,5199,1108,1.0,2,658721,Hyde Park,neighborhood
201 E Adams Blvd,90011,Los Angeles,Quadruplex,2018,29458.0,1899,7444,2608,4.0,8,740682,Central City,neighborhood
812 S Highland Ave,90036,Los Angeles,SingleFamily,2018,1356421.0,1928,7500,2191,3.0,3,1889783,Mid City,neighborhood
1403 S Wycliff Ave,90732,San Pedro,SingleFamily,2018,437626.0,1952,6003,2190,4.0,3,948892,San Pedro,neighborhood
1324 W 17th St,90006,Los angeles,SingleFamily,2018,447917.0,1932,7599,1156,1.0,2,626089,Pico-Union,neighborhood
22900 Crespi St,91364,Woodland Hills,SingleFamily,2018,371456.0,1953,11254,1339,2.0,2,720261,Woodland Hills,neighborhood
11027 Arbuckle Ave,91345,Mission Hills,SingleFamily,2018,209866.0,1990,6851,905,1.0,2,462860,Mission Hills,neighborhood
856 N Virgil Ave,90029,Los Angeles,MultiFamily2To4,2018,936360.0,1916,5662,3288,NA,4,1420538,Hollywood,neighborhood
925 S Mullen Ave,90019,Los Angeles,SingleFamily,2018,734092.0,1924,6238,1585,1.5,3,1483408,Mid City,neighborhood
5429 Troost Ave,91601,North Hollywood,Quadruplex,2018,655529.0,1992,6844,3592,4.0,8,1263620,Valley Village,neighborhood
2025 S Moray Ave,90732,San Pedro,SingleFamily,2018,154430.0,1967,5940,2559,3.0,3,1093353,San Pedro,neighborhood
22919 Mariposa Ave UNIT 902,90502,Torrance,Condominium,2018,482025.0,2009,13996,1630,4.0,3,547861,West Carson,city
4161 Elmer Ave,91602,North Hollywood,SingleFamily,2018,580826.0,1926,6750,1456,2.0,3,1455641,Studio City,neighborhood
2229 Roseglen Ave,90731,San Pedro,SingleFamily,2018,357804.0,1962,8194,2291,3.0,5,786578,San Pedro,neighborhood
8133 Gentry Ave,91605,North Hollywood,SingleFamily,2018,171532.0,1950,6079,836,1.0,2,498148,Sun Valley,neighborhood
1027 El Paso Dr,90042,Los Angeles,SingleFamily,2018,522521.0,1900,6511,1296,1.0,3,909047,Mount Washington,neighborhood
4121 Vanalden Ave,91356,Tarzana,SingleFamily,2018,313161.0,1969,14675,4119,5.0,4,1760384,Tarzana,neighborhood
6111 San Vicente Blvd,90048,Los Angeles,SingleFamily,2018,1842776.0,1927,8028,2674,5.0,4,2327236,Mid City West,neighborhood
13953 Cantlay St,91405,Van Nuys,SingleFamily,2018,568000.0,1954,5952,1359,2.0,3,594815,Van Nuys,neighborhood
7819 Satsuma Ave,91352,Sun Valley,SingleFamily,2018,381104.0,1948,8100,1300,1.0,3,542668,Sun Valley,neighborhood
6716 Noble Ave,91405,Van Nuys,SingleFamily,2018,82263.0,1953,5999,1562,2.0,4,637351,Van Nuys,neighborhood
3622 Clarington Ave APT 6,90034,Los Angeles,Condominium,2018,330233.0,1990,5410,1066,3.0,2,762740,Palms,neighborhood
2315 Bronson Hill Dr,90068,Los Angeles,SingleFamily,2018,543410.0,1962,14579,1750,2.0,3,1677969,Hollywood Hills,neighborhood
8505 Fenwick St,91040,Sunland,Duplex,2018,182056.0,1953,8998,1727,2.0,4,676844,Sunland,neighborhood
11383 Old Ranch Cir,91311,Chatsworth,Condominium,2018,287119.0,1988,220554,1,2.0,2,425251,Chatsworth,neighborhood
1240 W Florence Ave # D,90044,Los Angeles,Duplex,2018,209736.0,1920,4795,1752,NA,NA,520553,South Los Angeles,neighborhood
2325 Cove Ave,90039,Los Angeles,MultiFamily2To4,2018,905147.0,1908,8999,2800,3.0,3,1555532,Silver Lake,neighborhood
15540 Friar St,91411,Van Nuys,SingleFamily,2018,312885.0,NA,5162,NA,NA,NA,594045,Van Nuys,neighborhood
13006 Welby Way,91606,North Hollywood,SingleFamily,2018,224215.0,1947,5692,936,1.0,3,597085,Valley Glen,neighborhood
11504 Terra Vista Way,91342,Sylmar,SingleFamily,2018,217354.0,1985,4849,1600,3.0,3,575130,Lakeview Terrace,neighborhood
14901 Nurmi St,91342,Sylmar,SingleFamily,2018,81755.0,1954,6062,1332,2.0,4,505364,Sylmar,neighborhood
11687 Erwin St,91606,North Hollywood,SingleFamily,2018,830000.0,1949,6534,2388,NA,4,886908,North Hollywood,neighborhood
6632 Riverton Ave,91606,North Hollywood,SingleFamily,2018,235589.0,1944,6253,1596,1.0,3,635487,North Hollywood,neighborhood
902 E 93rd St,90002,Los Angeles,SingleFamily,2018,99733.0,1947,4931,845,1.0,2,370200,Southeast Los Angeles,neighborhood
6340 W 84th St,90045,Los Angeles,SingleFamily,2018,352036.0,1943,6065,1575,2.0,3,1229543,Westchester,neighborhood
1723 S Orange Grove Ave,90019,Los Angeles,SingleFamily,2018,743605.0,1940,6082,1398,2.0,3,1186283,Mid City,neighborhood
1164 E 32nd St,90011,Los Angeles,MultiFamily2To4,2018,395352.0,NA,NA,NA,NA,5,563942,Central City,neighborhood
327 N Edinburgh Ave,90048,Los Angeles,SingleFamily,2018,1489265.0,1927,6551,2312,3.5,4,2387626,Mid City West,neighborhood
17130 Cantara St,91406,Van Nuys,SingleFamily,2018,191156.0,1954,6499,1325,2.0,3,588753,Lake Balboa,neighborhood
1219 Keniston Ave,90019,Los Angeles,Duplex,2018,176704.0,1923,7399,1928,2.0,4,1250619,Mid City,neighborhood
6345 Farmdale Ave,91606,North Hollywood,SingleFamily,2018,339524.0,1941,7174,957,1.0,2,556038,North Hollywood,neighborhood
6010 Oakdale Ave,91367,Woodland Hills,SingleFamily,2018,120587.0,1951,16667,1352,1.0,2,847704,Woodland Hills,neighborhood
18209 Schoenborn St,91325,Northridge,SingleFamily,2018,217496.0,1956,8397,1442,2.0,3,604837,Northridge,neighborhood
3655 Westwood Blvd APT 4,90034,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,1.0,1,1619767,Palms,neighborhood
4524 8th Ave,90043,Los Angeles,SingleFamily,2018,137168.0,NA,6055,NA,2.0,4,828589,Hyde Park,neighborhood
17437 Valerio St,91406,Van Nuys,SingleFamily,2018,243145.0,1949,5600,1105,2.0,3,562822,Lake Balboa,neighborhood
8101 Glider Ave,90045,Los Angeles,SingleFamily,2018,1071000.0,1947,6176,2009,3.0,3,1290141,Westchester,neighborhood
10371 Samoa Ave,91042,Tujunga,SingleFamily,2018,44473.0,1921,21791,560,1.0,2,521277,Tujunga,neighborhood
